source,target,weight
13.03.02 Электроэнергетика и электротехника,27.03.05 Инноватика,1
14.03.02 Ядерные физика и технологии,27.03.05 Инноватика,1
15.03.01 Машиностроение,27.03.05 Инноватика,1
15.03.06 Мехатроника и робототехника,27.03.05 Инноватика,1
38.03.02 Менеджмент,27.03.05 Инноватика,1
09.03.03 Прикладная информатика,35.03.06 Агроинженерия,1
15.03.01 Машиностроение,35.03.06 Агроинженерия,1
18.03.01 Химическая технология,35.03.06 Агроинженерия,1
20.03.01 Техносферная безопасность,35.03.06 Агроинженерия,1
11.03.04 Электроника и наноэлектроника,38.03.01 Экономика,1
27.03.05 Инноватика,38.03.01 Экономика,1
35.03.06 Агроинженерия,38.03.01 Экономика,1
38.03.02 Менеджмент,38.03.01 Экономика,1
13.03.01 Теплоэнергетика и теплотехника,38.03.02 Менеджмент,1
18.03.01 Химическая технология,38.03.02 Менеджмент,1
19.03.01 Биотехнология,38.03.02 Менеджмент,1
54.03.01 Дизайн,38.03.02 Менеджмент,1
22.03.01 Материаловедение и технологии материалов,54.03.01 Дизайн,1
